"Results of the inspection on radioactive materials in fisheries products (press releases in March,2011_September,  2011)",,,,,,,,,,,,,,,,,
"Note: This data sheet is a compilation of individual  test results shown in the corresponding press releases, (in Japanese) by prefectural governments, available  at the website each prefecture or  _",,,,,,,,,,,,,,,,,
http://www.jfa.maff.go.jp/j/kakou/kensa/index.html,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Press release,,Origin,,,Sampling date,Item,,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,,,
1043,Fukushima,"13 July, 2011",Fukushima,,"Iwaki City
(Offshore Ena)","11 July, 2011",_______,,"Arame seaweed
(Eisenia bicyclis)",,550,,40,"Fukushima Agricultural Technology
Centre",,,
1044,Miyagi,"13 July, 2011",Miyagi,,Sendai Bay,"7 July, 2011",___,,"Olive flounder
(Paralichthys olivaceus)",Not detectable,,Not detectable,,Tohoku University,,,
1045,Miyagi,"13 July, 2011",Miyagi,,Sendai Bay,"7 July, 2011",_____,,"Marbled flounder
(Pleuronectes yokohamae)",,4,Not detectable,,Tohoku University,,,
1046,Miyagi,"13 July, 2011",Miyagi,,Sendai Bay,"10 July, 2011",_______,,"Anchovy
(Engraulis japonicus)",,12,Not detectable,,Tohoku University,,,
1047,Miyagi,"13 July, 2011",Miyagi,,"Pacific Ocean, Offshore Ibaraki","9 July, 2011",___,,"Skipjack tuna
(Katsuwonus pelamis)",,2,Not detectable,,Tohoku University,,,
1048,Miyagi,"13 July, 2011",Miyagi,,"Offshore
Shizugawa","9 July, 2011",___,,"Pacific cod
(Gadus macrocephalus)",,12,Not detectable,,Tohoku University,,,
1049,Miyagi,"13 July, 2011",Miyagi,,Kami Town (Naruse River) (inland waters),"11 July, 2011",______,,"Ayu sweetfish(wild)
(Plecoglossus altivelis)",,37,Not detectable,,Tohoku University,,,
1050,Chiba,"13 July, 2011",Chiba,,"Choshi
Fishing Port","11 July, 2011",____,,"Japanese sardine
(Sardinops melanostictus)",,9.7,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
1051,Chiba,"13 July, 2011",Chiba,,"Choshi
Fishing Port","9 July, 2011",____,,"Japanese sardine
(Sardinops melanostictus)",,11.9,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
1052,Chiba,"14 July, 2011",Chiba,,"Choshi
Fishing Port","13 July, 2011",____,,"Japanese sardine
(Sardinops melanostictus)",,9.5,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
1053,Chiba,"14 July, 2011",Chiba,,"Katakai
Fishing Port","13 July, 2011",_______,,"Anchovy
(Engraulis japonicus)",,11.6,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
1054,National Offshore Tuna Fisheries Association of Japan,"14 July, 2011",(Landing port) Chiba-katsuura Fishing Port in Chiba,,"Offshore Boso
Peninsula
(N35°50’E 151°00’)","8 July, 2011",___,,"Skipjack tuna
(Katsuwonus pelamis)",,1.5,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
1055,National Offshore Tuna Fisheries Association of Japan,"14 July, 2011",(Landing port) Chiba-katsuura Fishing Port in Chiba,,"Offshore Boso
Peninsula
(N33°00’E 148°00’)","8 July, 2011",____,,"Albacore
(Thunnus alalunga)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
1056,Aomori,"14 July, 2011",Aomori,,offshore Misawa,"12 July, 2011",_____,,"Japanese flying squid
(Todarodes pacificus)",Not detectable,,Not detectable,,Institute for Environmental Sciences,,,
1057,Kochi,"14 July, 2011",Kochi,,offshore Tosa Bay,"14 July, 2011",___,,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"Kochi Prefectural Institute of Public
Health",,,
1058,Ibaraki,"14 July, 2011",Ibaraki,,"Offshore
Oarai town","13 July, 2011",____,,"Japanese sardine
(Sardinops melanostictus)",,40,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
1059,Ibaraki,"14 July, 2011",Ibaraki,,Kasumigaura (Nishi-ura) (inland waters),"13 July, 2011",________,,"Japanese icefish
(freshwater)
(Salangichthys microdon)",,37,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
1060,Ibaraki,"14 July, 2011",Ibaraki,,Kasumigaura (Nishi-ura) (inland waters),"13 July, 2011",________,,"Japanese smelt(wild)
(Hypomesus nipponensis)",,87,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
1061,Ibaraki,"14 July, 2011",Ibaraki,,Kasumigaura (Kita-ura) (inland waters),"13 July, 2011",________,,"Japanese icefish
(freshwater)
(Salangichthys microdon)",,63,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
1062,Ibaraki,"14 July, 2011",Ibaraki,,Kasumigaura (Kita-ura) (inland waters),"13 July, 2011",________,,"Japanese smelt(wild)
(Hypomesus nipponensis)",,81,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
1063,Kyoto,"14 July, 2011",Kyoto,,Offshore Tango,"13 July, 2011",___,,"Spanish mackerel
(Scomberomours nipponius)",Not detectable,,Not detectable,,Private inspection facility,,,
1064,Kyoto,"14 July, 2011",Kyoto,,Offshore Tango,"13 July, 2011",___,,"Japanese jack mackerel
(Trachurus japonicas)",Not detectable,,Not detectable,,Private inspection facility,,,
1065,Kyoto,"14 July, 2011",Kyoto,,Offshore Tango,"13 July, 2011",_____,,"Japanese flying squid
(Todarodes pacificus)",Not detectable,,Not detectable,,Private inspection facility,,,
1066,Chiba,"15 July, 2011",Chiba,,"Katagai
Fishing Port","14 July, 2011",_________,,"Clam
(Meretrix lamarckii)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
1067,Chiba,"19 July, 2011",Chiba,,"Choshi
Fishing Port","14 July, 2011",____,,"Japanese sardine
(Sardinops melanostictus)",,8.6,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
1068,Chiba,"19 July, 2011",Chiba,,"Kawaguchi
Fishing Port","13 July, 2011",_____,,"Japanese abalone
(Haliotis discus)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
1069,Ibaraki,"8 July, 2011",Ibaraki,,"Shore of
Hitachi City","6 July, 2011",____,,"Japanese spiny lobster
(Panulirus japonicus )",,58,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
1070,Kanagawa,"20 July, 2011",Kanagawa,,Kamakura City (Off the coast of Kamakura),"9 July, 2011",___,,Whitebait,Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
1071,Kanagawa,"20 July, 2011",Kanagawa,,Kamakura City (Off the coast of Kamakura),"15 July, 2011",______,,"Japanese barracuda
(Sphyraena japonica)",,3.5,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
1072,Kanagawa,"20 July, 2011",Kanagawa,,Yokohama City (Shiba Fishing Port),"13 July, 2011",_____,,"Marbled flounder
(Pleuronectes yokohamae)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
1073,Kanagawa,"20 July, 2011",Kanagawa,,Yokohama City (Shiba Fishing Port),"13 July, 2011",____,,"Conger eel
(Conger myriaster)",,4.3,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
1074,Fukushima,"20 July, 2011",Fukushima,,Iwaki City,"15 July, 2011",____,,"Japanese sandlance
(Ammodytes personatus)",,209,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1075,Fukushima,"20 July, 2011",Fukushima,,Iwaki City,"15 July, 2011",___,,Whitebait,,148,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1076,Fukushima,"20 July, 2011",Fukushima,,Iwaki City,"15 July, 2011",___,,Whitebait,,29,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1077,Fukushima,"20 July, 2011",Fukushima,,Iwaki City,"15 July, 2011",____,,"Fat greenling
(Hexagrammos otakii)",,3000,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1078,Fukushima,"20 July, 2011",Fukushima,,Iwaki City,"15 July, 2011",_____,,"Goldeye rockfish
(Sebastes thompsoni)",,640,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1079,Fukushima,"20 July, 2011",Fukushima,,Iwaki City,"15 July, 2011",_____,,"Monkfish
(Lophius litulon)",,110,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1080,Fukushima,"20 July, 2011",Fukushima,,Iwaki City,"15 July, 2011",____,,"Southern mackerel
(Scomber australasicus)",,48,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1081,Fukushima,"20 July, 2011",Fukushima,,Iwaki City,"15 July, 2011",______,,"Ocellate spot skate
(Okamejei kenojei )",,292,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1082,Fukushima,"20 July, 2011",Fukushima,,Iwaki City,"15 July, 2011",_____,,"Rockfish
(Sebastes cheni)",,520,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1083,Fukushima,"20 July, 2011",Fukushima,,Iwaki City,"15 July, 2011",_____,,"Rockfish
(Sebastes cheni)",,2060,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1084,Fukushima,"20 July, 2011",Fukushima,,Iwaki City,"15 July, 2011",___,,"Crimson sea bream
(Evynnis japonica)",,30,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1085,Fukushima,"20 July, 2011",Fukushima,,Iwaki City,"15 July, 2011",_____,,"Slime flounder
(Microstomus achne)",,240,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1086,Fukushima,"20 July, 2011",Fukushima,,Iwaki City,"15 July, 2011",_____,,"Slime flounder
(Microstomus achne)",,158,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1087,Fukushima,"20 July, 2011",Fukushima,,Iwaki City,"15 July, 2011",___,,"Olive flounder
(Paralichthys olivaceus)",,36,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1088,Fukushima,"20 July, 2011",Fukushima,,Iwaki City,"15 July, 2011",___,,"Olive flounder
(Paralichthys olivaceus)",,36,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1089,Fukushima,"20 July, 2011",Fukushima,,Iwaki City,"15 July, 2011",___,,"Japanese jack mackerel
(Trachurus japonicas)",,12,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1090,Fukushima,"20 July, 2011",Fukushima,,Iwaki City,"15 July, 2011",____,,"Conger eel
(Conger myriaster)",,90,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1091,Fukushima,"20 July, 2011",Fukushima,,Iwaki City,"15 July, 2011",____,,"Littlemouth flounder
(Pleuronectes herzensteini)",,164,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1092,Fukushima,"20 July, 2011",Fukushima,,Iwaki City,"15 July, 2011",_____,,"Marbled flounder
(Pleuronectes yokohamae)",,179,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1093,Fukushima,"20 July, 2011",Fukushima,,Iwaki City,"15 July, 2011",___,,"Chub mackerel
(Scomber japonicus)",,45,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1094,Fukushima,"20 July, 2011",Fukushima,,Iwaki City,"15 July, 2011",______,,"Japanese dwarf squid
(Loligo japonica)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1095,Fukushima,"20 July, 2011",Fukushima,,Iwaki City,"15 July, 2011",______,,"Sand crab
(Ovalipes punctatus)",,310,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1096,Fukushima,"20 July, 2011",Fukushima,,Iwaki City,"15 July, 2011",_____,,"Surf clam
(Pseudocardium sachalinense)",,260,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1097,Fukushima,"20 July, 2011",Fukushima,,Iwaki City,"15 July, 2011",___,,"Abalone
(Haliotis sp.)",,178,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1098,Fukushima,"20 July, 2011",Fukushima,,Iwaki City,"15 July, 2011",________,,"Northern sea urchin
(Strongylocentrotus nudus)",,510,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1099,Fukushima,"20 July, 2011",Fukushima,,Soma City,"13 July, 2011",____,,"Japanese sandlance
(Ammodytes personatus)",,155,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1100,Fukushima,"20 July, 2011",Fukushima,,Soma City,"15 July, 2011",____,,"Fat greenling
(Hexagrammos otakii)",,168,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1101,Fukushima,"20 July, 2011",Fukushima,,Soma City,"15 July, 2011",________,,"Brown hakeling
(Physiculus maximowiczi)",,107,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1102,Fukushima,"20 July, 2011",Fukushima,,Soma City,"15 July, 2011",______,,"Ocellate spot skate
(Okamejei kenojei )",,81,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1103,Fukushima,"20 July, 2011",Fukushima,,Soma City,"15 July, 2011",____,,"Drum
(Argyrosomus argentatus)",,41,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1104,Fukushima,"20 July, 2011",Fukushima,,Soma City,"15 July, 2011",_____,,"Slime flounder
(Microstomus achne)",,56,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1105,Fukushima,"20 July, 2011",Fukushima,,Soma City,"15 July, 2011",___,,"Olive flounder
(Paralichthys olivaceus)",,138,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1106,Fukushima,"20 July, 2011",Fukushima,,Soma City,"15 July, 2011",____,,"Littlemouth flounder
(Pleuronectes herzensteini)",,81,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1107,Fukushima,"20 July, 2011",Fukushima,,Soma City,"15 July, 2011",_____,,"Marbled flounder
(Pleuronectes yokohamae)",,82,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1108,Fukushima,"20 July, 2011",Fukushima,,Soma City,"15 July, 2011",___,,"Chub mackerel
(Scomber japonicus)",,117,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1109,Fukushima,"20 July, 2011",Fukushima,,Soma City,"15 July, 2011",____,,"Japanese common sea cucumber
(Stichopus japonicus)",,13,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1110,Fukushima,"20 July, 2011",Fukushima,,Iwaki City (Samegawa River) (inland waters),"14 July, 2011",______,,"Ayu sweetfish(wild)
(Plecoglossus altivelis)",,48,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1111,Fukushima,"20 July, 2011",Fukushima,,Date City (Abukuma River) (inland waters),"16 July, 2011",______,,"Ayu sweetfish(wild)
(Plecoglossus altivelis)",,1170,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1112,Fukushima,"20 July, 2011",Fukushima,,Fukushima City (Abukuma River) (inland waters),"17 July, 2011",______,,"Ayu sweetfish(wild)
(Plecoglossus altivelis)",,165,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1113,Fukushima,"20 July, 2011",Fukushima,,Koriyama City (Abukuma River) (inland waters),"18 July, 2011",______,,"Ayu sweetfish(wild)
(Plecoglossus altivelis)",,159,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1114,Fukushima,"20 July, 2011",Fukushima,,"Inawashiro Town
(inland waters)","12 July, 2011",_______,,"Land-locked salmon (farmed)
(Oncorhynchus masou)",,8,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1115,Fukushima,"20 July, 2011",Fukushima,,"Tadami Town
(inland waters)","13 July, 2011",_______,,"Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1116,Fukushima,"20 July, 2011",Fukushima,,"Mishima Town
(inland waters)","13 July, 2011",_______,,"Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1117,Fukushima,"20 July, 2011",Fukushima,,"Kitakata City
(inland waters)","13 July, 2011",_______,,"Land-locked salmon (farmed)
(Oncorhynchus masou)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1118,Fukushima,"20 July, 2011",Fukushima,,"Hinoemata Village
(inland waters)","14 July, 2011",_______,,"Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1119,Fukushima,"20 July, 2011",Fukushima,,"Minamiaizu Town
(inland waters)","14 July, 2011",_______,,"Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1120,Fukushima,"20 July, 2011",Fukushima,,"Kawauchi Village
(inland waters)","15 July, 2011",_______,,"Whitespotted char(farmed)
(Salvelinus leucomaenis)",,29,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1121,Fukushima,"20 July, 2011",Fukushima,,"Kawauchi Village
(inland waters)","15 July, 2011",________,,"Oriental weather loach
(farmed)
(Misgurnus",,280,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1122,Fukushima,"20 July, 2011",Fukushima,,"Kawauchi Village
(inland waters)","15 July, 2011",_________,,"Willow gudgeon (farmed)
(Gnathopogon caerulescens)",,1270,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1123,Fukushima,"20 July, 2011",Fukushima,,Iwaki City,"15 July, 2011",_______,,"Arame seaweed
(Eisenia bicyclis)",,360,,20,"Fukushima Agricultural Technology
Centre",,,
1124,Fukushima,"20 July, 2011",Fukushima,,Iwaki City,"15 July, 2011",___,,"Wakame seaweed
(Undaria pinnatifida)",,71,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1125,Fukushima,"20 July, 2011",Fukushima,,Iwaki City,"15 July, 2011",___,,"Wakame seaweed
(Undaria pinnatifida)",,56,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1126,Federation of North Pacific District Purse Seine Fisheries Co-operative Associations of Japan,"19 July, 2011",(Landing port) Choshi Fishing Port in Chiba,,130km  east offshore Boso (N35°32_E141°54),"13 July, 2011",___,,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
1127,National Offshore Tuna Fisheries Association of Japan,"15 July, 2011",(Landing port) Kesennuma Fishing Port in Miyagi,,Northwest Offshore Pacific Ocean (N36°30_E153° 00),"11 July, 2011",___,,"Skipjack tuna
(Katsuwonus pelamis)",,2.1,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
1128,Yamagata,"21 July, 2011",Yamagata,,"Funagata Town (Mogami-oguni River)
(inland waters)","14 July, 2011",______,,"Ayu sweetfish(wild)
(Plecoglossus altivelis)",,41,Not detectable,,"Research Laboratory of Science, Yamagata Prefecture",,,
1129,Yamagata,"21 July, 2011",Yamagata,,Yonezawa City (Otaru River) (inland waters),"16 July, 2011",______,,"Ayu sweetfish(wild)
(Plecoglossus altivelis)",,27,Not detectable,,"Research Laboratory of Science, Yamagata Prefecture",,,
1130,Yamagata,"21 July, 2011",Yamagata,,Tsuruoka City (Akagawa River) (inland waters),"19 July, 2011",______,,"Ayu sweetfish(wild)
(Plecoglossus altivelis)",Not detectable,,Not detectable,,"Research Laboratory of Science, Yamagata Prefecture",,,
1131,Niigata,"21 July, 2011",Niigata,,"Agano River
(inland waters)","18 July, 2011",______,,"Brackish-water  clam
(Corbicula japonica)",,5,Not detectable,,"Niigata Prefecture Radiation
Monitoring Center",,,
1132,National Offshore Tuna Fisheries Association of Japan,"21 July, 2011",(Landing port) Chiba-katsuura Fishing Port in Chiba,,east-southeast offshore Boso (N33°10_E147°40),"16 July, 2011",___,,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
1133,National Offshore Tuna Fisheries Association of Japan,"21 July, 2011",(Landing port) Chiba-katsuura Fishing Port in Chiba,,East offshore Boso (N34°00_E152°40),"16 July, 2011",____,,"Albacore
(Thunnus alalunga)",,4.5,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
